firm_id,firm_name,primary_category,uk_relevance,hq_region,priority_tier,fit_relevance,careers_url,canonical_platform,canonical_feed_url,alternate_endpoints_json,search_aliases_json,scrape_status,scrape_method,search_enabled,feed_enabled,uk_only_expected,notes,last_validated_at
goldman-sachs,Goldman Sachs,Bank,UK-Presence,Global,Tier1,Core,https://www.goldmansachs.com/careers,Custom,,[],[],covered,html,true,true,true,Careers site; Goldman Sachs careers; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
hsbc,HSBC,Bank,UK-HQ,United Kingdom,Tier1,Core,https://jobs.smartrecruiters.com/HSBC,SmartRecruiters,https://api.smartrecruiters.com/v1/companies/HSBC/postings,"[{""platform"": ""Custom"", ""careers_url"": ""https://apply.careers.hsbc.com/"", ""feed_url"": """", ""workday_entry"": """", ""source"": ""HSBC careers""}]",[],covered,api,true,true,true,ATS feed from internal company list; internal_smartrecruiters_list; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters,
icbc-standard-bank,ICBC Standard Bank,Bank,UK-Presence,Global,Tier1,Core,https://www.icbcstandard.com/en/Careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
jpmorgan-chase,JPMorgan Chase,Bank,UK-Presence,Global,Tier1,Core,https://careers.jpmorgan.com/,Custom,,[],"[""JPMorgan""]",covered,html,true,true,true,Global careers site; JPMorgan careers; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
kroo,Kroo,Bank,UK-HQ,United Kingdom,Tier1,Core,https://boards.greenhouse.io/kroo,Greenhouse,https://boards-api.greenhouse.io/v1/boards/kroo/jobs,"[{""platform"": ""Lever"", ""careers_url"": ""https://jobs.lever.co/kroo"", ""feed_url"": ""https://api.lever.co/v0/postings/kroo?mode=json"", ""workday_entry"": """", ""source"": ""internal_lever_list""}, {""platform"": ""Workable"", ""careers_url"": ""https://apply.workable.com/kroo/"", ""feed_url"": ""https://www.workable.com/api/accounts/kroo?details=true"", ""workday_entry"": """", ""source"": ""manual_workable_target""}]",[],covered,api,true,true,true,ATS feed from internal board list; internal_greenhouse_list; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse,
lloyds-banking-group,Lloyds Banking Group,Bank,UK-HQ,United Kingdom,Tier1,Core,https://jobs.smartrecruiters.com/Lloyds,SmartRecruiters,https://api.smartrecruiters.com/v1/companies/Lloyds/postings,"[{""platform"": ""Workday"", ""careers_url"": ""https://lbg.wd3.myworkdayjobs.com/LBG_Careers"", ""feed_url"": """", ""workday_entry"": ""Lloyds Banking Group|https://lbg.wd3.myworkdayjobs.com/LBG_Careers"", ""source"": ""Lloyds Workday""}]","[""Lloyds""]",covered,api,true,true,true,ATS feed from internal company list; internal_smartrecruiters_list; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters,
lseg,LSEG,Bank,UK-Presence,Global,Tier1,Core,https://jobs.smartrecruiters.com/LSEG,SmartRecruiters,https://api.smartrecruiters.com/v1/companies/LSEG/postings,[],[],covered,api,true,true,true,ATS feed from internal company list; internal_smartrecruiters_list; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters,
metro-bank,Metro Bank,Bank,UK-HQ,United Kingdom,Tier1,Core,https://www.metrobankonline.co.uk/about-us/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
monument-bank-limited,Monument Bank Limited,Bank,UK-Presence,Global,Tier1,Core,https://www.monument.co/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
monzo,Monzo,Bank,UK-HQ,United Kingdom,Tier1,Core,https://boards.greenhouse.io/monzo,Greenhouse,https://boards-api.greenhouse.io/v1/boards/monzo/jobs,"[{""platform"": ""Lever"", ""careers_url"": ""https://jobs.lever.co/monzo"", ""feed_url"": ""https://api.lever.co/v0/postings/monzo?mode=json"", ""workday_entry"": """", ""source"": ""internal_lever_list""}]","[""monzo""]",covered,api,true,true,true,ATS feed from internal board list; internal_greenhouse_list; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse,
morgan-stanley,Morgan Stanley,Bank,UK-Presence,Global,Tier1,Core,https://www.morganstanley.com/careers/career-opportunities-search/,Custom,,[],[],covered,html,true,true,true,Careers search page; Morgan Stanley careers; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
natwest-group,NatWest Group,Bank,UK-HQ,United Kingdom,Tier1,Core,https://jobs.smartrecruiters.com/NatWest,SmartRecruiters,https://api.smartrecruiters.com/v1/companies/NatWest/postings,"[{""platform"": ""Custom"", ""careers_url"": ""https://jobs.natwestgroup.com/"", ""feed_url"": """", ""workday_entry"": """", ""source"": ""NatWest careers""}]","[""NatWest""]",covered,api,true,true,true,ATS feed from internal company list; internal_smartrecruiters_list; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters,
oaknorth,OakNorth,Bank,UK-HQ,United Kingdom,Tier1,Core,https://boards.greenhouse.io/oaknorth,Greenhouse,https://boards-api.greenhouse.io/v1/boards/oaknorth/jobs,"[{""platform"": ""Lever"", ""careers_url"": ""https://jobs.lever.co/oaknorth"", ""feed_url"": ""https://api.lever.co/v0/postings/oaknorth?mode=json"", ""workday_entry"": """", ""source"": ""internal_lever_list""}]","[""Oaknorth""]",covered,api,true,true,true,ATS feed from internal board list; internal_greenhouse_list; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse,
paragon-bank,Paragon Bank,Bank,UK-Presence,Global,Tier1,Core,https://www.paragonbank.co.uk/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
santander-uk,Santander UK,Bank,UK-HQ,United Kingdom,Tier1,Core,https://www.santander.com/en/careers/uk-careers,Custom,,[],[],covered,html,true,true,true,UK careers site; Santander UK careers; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
secure-trust-bank,Secure Trust Bank,Bank,UK-Presence,Global,Tier1,Core,https://www.securetrustbank.com/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
soci-t-g-n-rale,Société Générale,Bank,UK-Presence,Global,Tier1,Core,https://careers.societegenerale.com/en/job-offers/,Custom,,[],"[""Societe Generale""]",covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
standard-chartered,Standard Chartered,Bank,UK-Presence,Global,Tier1,Core,https://jobs.smartrecruiters.com/StandardChartered,SmartRecruiters,https://api.smartrecruiters.com/v1/companies/StandardChartered/postings,"[{""platform"": ""Custom"", ""careers_url"": ""https://jobs.standardchartered.com/"", ""feed_url"": """", ""workday_entry"": """", ""source"": ""Custom""}]","[""StandardChartered""]",covered,api,true,true,true,ATS feed from internal company list; internal_smartrecruiters_list; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters,
starling-bank,Starling Bank,Bank,UK-HQ,United Kingdom,Tier1,Core,https://boards.greenhouse.io/starlingbank,Greenhouse,https://boards-api.greenhouse.io/v1/boards/starlingbank/jobs,[],"[""Starling"", ""Starlingbank"", ""starlingbank""]",covered,api,true,true,true,ATS feed from internal board list; internal_greenhouse_list; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse,
tesco-bank,Tesco Bank,Bank,UK-Presence,Global,Tier1,Core,https://www.tescoplc.com/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
tide,Tide,Bank,UK-Presence,Global,Tier1,Core,https://boards.greenhouse.io/tide,Greenhouse,https://boards-api.greenhouse.io/v1/boards/tide/jobs,"[{""platform"": ""Lever"", ""careers_url"": ""https://jobs.lever.co/tide"", ""feed_url"": ""https://api.lever.co/v0/postings/tide?mode=json"", ""workday_entry"": """", ""source"": ""internal_lever_list""}]","[""tide""]",covered,api,true,true,true,ATS feed from internal board list; internal_greenhouse_list; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse,
ubs,UBS,Bank,UK-Presence,Global,Tier1,Core,https://jobs.smartrecruiters.com/UBS,SmartRecruiters,https://api.smartrecruiters.com/v1/companies/UBS/postings,"[{""platform"": ""Custom"", ""careers_url"": ""https://careers-ubs.com/"", ""feed_url"": """", ""workday_entry"": """", ""source"": ""UBS careers""}]",[],covered,api,true,true,true,ATS feed from internal company list; internal_smartrecruiters_list; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters,
vanquis-bank,Vanquis Bank,Bank,UK-Presence,Global,Tier1,Core,https://www.vanquis.com/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
zopa,Zopa,Bank,UK-HQ,United Kingdom,Tier1,Core,https://boards.greenhouse.io/zopa,Greenhouse,https://boards-api.greenhouse.io/v1/boards/zopa/jobs,"[{""platform"": ""Lever"", ""careers_url"": ""https://jobs.lever.co/zopa"", ""feed_url"": ""https://api.lever.co/v0/postings/zopa?mode=json"", ""workday_entry"": """", ""source"": ""internal_lever_list""}]",[],covered,api,true,true,true,ATS feed from internal board list; internal_greenhouse_list; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse,
abn-amro,ABN AMRO,Bank,UK-Presence,Global,Tier2,Core,https://www.linkedin.com/jobs/search/?keywords=ABN+AMRO&location=United%20Kingdom,LinkedInOnly,,[],[],partial,search,true,false,true,LinkedIn/search fallback until direct careers path is mapped,
abrdn,Abrdn,Bank,UK-Presence,Global,Tier2,Adjacent,https://www.aberdeenplc.com/en-gb/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
aj-bell,AJ Bell,Bank,UK-Presence,Global,Tier2,Adjacent,https://www.ajbell.co.uk/group/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
aldermore,Aldermore,Bank,UK-HQ,United Kingdom,Tier2,Core,https://www.aldermore.co.uk/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
blackrock,BlackRock,Bank,UK-Presence,Global,Tier2,Core,https://careers.blackrock.com/,Custom,,[],[],covered,html,true,true,true,Careers site; BlackRock careers; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
bny-mellon,BNY Mellon,Bank,UK-Presence,Global,Tier2,Core,https://www.bny.com/corporate/global/en/careers.html,Custom,,[],[],covered,html,true,true,true,Careers site; BNY careers; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
close-brothers,Close Brothers,Bank,UK-Presence,Global,Tier2,Core,https://www.closebrothers.com/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
cmc-markets,CMC Markets,Bank,UK-Presence,Global,Tier2,Core,https://www.cmcmarkets.com/en-gb/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom,
coutts,Coutts,Bank,UK-Presence,Global,Tier2,Core,https://jobs.natwestgroup.com/pages/coutts-careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom,
coventry-building-society,Coventry Building Society,Bank,UK-Presence,Global,Tier2,Core,https://www.coventrycareers.co.uk/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom,
fidelity,Fidelity,Bank,UK-Presence,Global,Tier2,Adjacent,https://careers.fidelityinternational.com/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom,
fnz,FNZ,Bank,UK-Presence,Global,Tier2,Adjacent,https://www.fnz.com/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
handelsbanken,Handelsbanken,Bank,UK-Presence,Global,Tier2,Core,https://www.handelsbanken.co.uk/en/about-us/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom,
hargreaves-lansdown,Hargreaves Lansdown,Bank,UK-Presence,Global,Tier2,Adjacent,https://careers.hl.co.uk/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
ig-group,IG Group,Bank,UK-Presence,Global,Tier2,Core,https://www.iggroup.com/corporate/careers.html,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom,
ing,ING,Bank,UK-Presence,Global,Tier2,Core,https://careers.ing.com/en,Custom,,[],[],covered,html,true,true,true,Careers site; ING careers; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
investec,Investec,Bank,UK-Presence,Global,Tier2,Core,https://www.investec.com/en_gb/welcome-to-investec/Careers.html,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom,
jefferies,Jefferies,Bank,UK-Presence,Global,Tier2,Core,https://www.jefferies.com/Careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom,
julius-baer,Julius Baer,Bank,UK-Presence,Global,Tier2,Core,https://www.juliusbaer.com/en/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
m-g,M&G,Bank,UK-Presence,Global,Tier2,Adjacent,https://www.mandg.com/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom,
macquarie,Macquarie,Bank,UK-Presence,Global,Tier2,Core,https://www.macquarie.com/careers.html,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom,
mizuho,Mizuho,Bank,UK-Presence,Global,Tier2,Core,https://www.mizuhogroup.com/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom,
mufg,MUFG,Bank,UK-Presence,Global,Tier2,Core,https://www.mufgemea.com/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom,
nationwide,Nationwide,Bank,UK-HQ,United Kingdom,Tier2,Core,https://jobs.nationwide.co.uk/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom,
nomura,Nomura,Bank,UK-Presence,Global,Tier2,Core,https://www.nomura.com/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom,
northern-trust,Northern Trust,Bank,UK-Presence,Global,Tier2,Core,https://www.northerntrust.com/united-states/about-us/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom,
rabobank,Rabobank,Bank,UK-Presence,Global,Tier2,Core,https://www.rabobank.com/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom,
rbc,RBC,Bank,UK-Presence,Global,Tier2,Core,https://jobs.rbc.com/en,Custom,,[],[],covered,html,true,true,true,Careers site; RBC careers; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
rothschild,Rothschild,Bank,UK-Presence,Global,Tier2,Core,https://www.rothschildandco.com/en/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom,
schroders,Schroders,Bank,UK-Presence,Global,Tier2,Adjacent,https://www.schroders.com/en/global/individual/about-us/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom,
shawbrook,Shawbrook,Bank,UK-HQ,United Kingdom,Tier2,Core,https://www.shawbrook.co.uk/about-us/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom,
skipton-building-society,Skipton Building Society,Bank,UK-Presence,Global,Tier2,Core,https://www.skipton.co.uk/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom,
smbc,SMBC,Bank,UK-Presence,Global,Tier2,Core,https://www.smbcgroup.com/emea/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom,
st-james-s-place,St. James's Place,Bank,UK-Presence,Global,Tier2,Adjacent,https://www.sjp.co.uk/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom,
state-street,State Street,Bank,UK-Presence,Global,Tier2,Core,https://careers.statestreet.com/,Custom,,[],[],covered,html,true,true,true,Careers site; State Street careers; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
tsb,TSB,Bank,UK-HQ,United Kingdom,Tier2,Core,https://careers.tsb.co.uk/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom,
unicredit,UniCredit,Bank,UK-Presence,Global,Tier2,Core,https://www.unicreditgroup.eu/en/careers.html,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom,
vanguard,Vanguard,Bank,UK-Presence,Global,Tier2,Adjacent,https://www.vanguardjobs.com/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom,
virgin-money,Virgin Money,Bank,UK-HQ,United Kingdom,Tier2,Core,https://uk.virginmoneycareers.com/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom,
yorkshire-building-society,Yorkshire Building Society,Bank,UK-Presence,Global,Tier2,Core,https://www.ybs.co.uk/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom,
adyen,Adyen,Fintech,UK-Presence,EMEA,Tier1,Core,https://careers.adyen.com/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
airwallex,Airwallex,Fintech,UK-Presence,EMEA,Tier1,Core,https://boards.greenhouse.io/airwallex,Greenhouse,https://boards-api.greenhouse.io/v1/boards/airwallex/jobs,"[{""platform"": ""Lever"", ""careers_url"": ""https://jobs.lever.co/airwallex"", ""feed_url"": ""https://api.lever.co/v0/postings/airwallex?mode=json"", ""workday_entry"": """", ""source"": ""internal_lever_list""}, {""platform"": ""Ashby"", ""careers_url"": ""https://jobs.ashbyhq.com/airwallex"", ""feed_url"": ""https://jobs.ashbyhq.com/api/non-user-graphql?op=job-board&board=airwallex"", ""workday_entry"": """", ""source"": ""internal_ashby_list""}, {""platform"": ""Ashby"", ""careers_url"": ""https://jobs.ashbyhq.com/airwallex"", ""feed_url"": ""https://api.ashbyhq.com/posting-api/job-board/airwallex"", ""workday_entry"": """", ""source"": ""internal_ashby_list""}]","[""airwallex""]",covered,api,true,true,true,ATS feed from internal board list; internal_greenhouse_list; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse,
